Genome;classified_CPBay_Spr15G08_DNA.bac.ar;classified_CPBay_Spr15L08_DNA.bac.ar;classified_CPBay_Spr31G08_DNA.bac.ar;classified_CPBay_Spr31L08_DNA.bac.ar;classified_CPBay_Sum06G08_DNA.bac.ar;classified_CPBay_Sum06L08_DNA.bac.ar;classified_CPBay_Sum15G08_DNA.bac.ar;classified_CPBay_Sum15L08_DNA.bac.ar;classified_CPBay_Sum20G08_DNA.bac.ar;classified_CPBay_Sum27G08_DNA.bac.ar;classified_CPBay_Sum27L08_DNA.bac.ar;classified_DEBay_Spr_20_G08.bac.ar;classified_DEBay_Spr_20_L08.bac.ar;classified_DEBay_Spr_30_G08.bac.ar;classified_DEBay_Spr_30_L08.bac.ar;classified_DEBay_Sum_019_D_G08.bac.ar;classified_DEBay_Sum_019_D_L08.bac.ar;classified_DEBay_Sum_019_N_G08.bac.ar;classified_DEBay_Sum_019_N_L08.bac.ar;classified_DEBay_Sum_22_D_G08.bac.ar;classified_DEBay_Sum_22_D_L08.bac.ar;classified_DEBay_Sum_22_N_G08.bac.ar;classified_DEBay_Sum_22_N_L08.bac.ar;classified_DEBay_Sum_29_D_G08.bac.ar;classified_DEBay_Sum_29_D_L08.bac.ar;classified_DEBay_Sum_29_N_G08.bac.ar;classified_DEBay_Sum_29_N_L08.bac.ar
Acidimicrobiales_MAG_1;0;0;0;0;3416.5242;539.87146;0;0;0;0;0;0;0;0;0;1142.8567;0;0;0;0;0;0;0;0;0;0;0
Acidimicrobiales_MAG_10;0;0;0;0;4441.895;3913.4836;0;0;0;0;0;0;0;0;0;2537.8875;1377.9265;1209.3488;1817.7273;0;0;0;0;0;0;0;0
Acidimicrobiales_MAG_11;0;0;0;0;11978.663;7090.8184;18892.75;18482.965;5165.951;3426.8115;2387.4692;0;0;0;0;1693.1453;975.99915;1639.5087;1711.6124;8352.214;11174.024;10539.003;9610.437;7146.844;8749.802;6414.4165;7188.387
Acidimicrobiales_MAG_12;0;0;0;0;12751.002;3388.954;0;0;0;0;0;0;0;0;0;8614.683;6156.2075;4374.417;7777.2417;0;0;0;0;0;0;0;0
Acidimicrobiales_MAG_13;0;0;0;0;5244.7344;6000.6294;0;0;0;0;0;0;0;0;0;7063.729;11890.683;6467.661;10455.093;0;0;0;0;0;0;0;0
Acidimicrobiales_MAG_14;0;0;0;0;14473.871;13761.761;0;0;0;0;0;0;0;0;0;2763.234;3598.752;1681.0476;4789.526;0;0;0;0;0;0;0;0
Acidimicrobiales_MAG_15;0;0;0;0;8844.245;5742.9106;0;0;0;0;0;0;0;0;0;8437.138;9312.015;3871.1377;8141.386;0;0;0;0;0;0;0;0
Acidimicrobiales_MAG_16;0;0;0;0;20616.713;23393.58;13884.902;21257.396;2646.2866;0;203.7608;0;0;0;0;4720.7607;7539.2627;6658.1904;9627.816;178.75786;538.04706;394.03555;761.7842;0;0;0;0
Acidimicrobiales_MAG_17;0;0;0;0;913.8617;432.1217;0;0;0;0;0;0;0;0;0;17394.414;16683.268;8064.3325;16554.898;0;0;0;0;0;0;0;0
Acidimicrobiales_MAG_18;0;0;0;0;2710.1213;1106.736;0;0;0;0;0;0;0;0;0;3748.3372;3363.399;1712.8552;3150.522;0;0;0;0;0;0;0;0
Acidimicrobiales_MAG_19;0;0;0;0;8212.916;3535.4333;0;0;0;0;0;0;0;0;0;10274.887;4624.0386;3549.7073;7040.2207;0;0;0;0;0;0;0;0
Acidimicrobiales_MAG_2;0;0;0;0;2758.5261;4927.082;5504.6465;9514.86;0;0;0;0;0;0;0;1345.0112;2693.3237;2455.8318;2567.1814;0;0;0;0;0;0;0;0
Acidimicrobiales_MAG_20;0;0;0;0;40837.133;14295.557;0;0;0;0;0;0;0;0;0;17034.03;9068.576;7320.127;10552.479;0;0;0;0;0;0;0;0
Acidimicrobiales_MAG_21;8520.476;2621.497;363.47784;146.45692;1903.3846;762.18463;8473.484;3305.4395;920.70776;0;0;0;0;0;0;3133.9607;2890.0188;2473.715;2350.1074;0;0;0;0;0;0;0;0
Acidimicrobiales_MAG_22;0;0;0;0;974.28894;365.85522;0;0;0;0;0;0;0;0;0;19647.78;23877.143;13390.044;16271.153;0;0;0;0;0;0;0;0
Acidimicrobiales_MAG_23;0;0;0;0;2068.278;2642.3372;0;0;0;0;0;0;0;0;0;595.197;514.4317;320.8467;542.28125;0;0;0;0;0;0;0;0
Acidimicrobiales_MAG_24;0;0;0;0;387.68253;0;0;0;0;0;0;0;0;0;0;7052.8413;1204.885;3197.777;3412.1904;0;0;0;0;0;0;0;0
Acidimicrobiales_MAG_25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;445.88678;3900.441;508.21634;2247.736;354.92706;1240.9036;0;1329.378
Acidimicrobiales_MAG_3;0;0;0;0;39954.78;76421.336;0;275.2373;0;0;0;0;0;0;0;24487.316;50944.773;44140.418;46859.19;0;0;0;148.60107;0;0;0;0
Acidimicrobiales_MAG_4;0;0;0;0;29659.213;57678.133;0;266.31818;0;0;0;0;0;0;0;16219.918;34031.957;31193.97;33361.24;0;87.338486;0;169.169;0;0;0;0
